Wilayah Jawa Barat,Bulan_Tahun,Tahun,Kelompok Pengeluaran IHK,IHK Value
Kota Bandung,October-2020,2020,Penyediaan Makanan & Minuman - Restoran,105.24
Kota Bandung,October-2020,2020,Perawatan Pribadi & Jasa Lainnya,114.01
Kota Bandung,September-2020,2020,Umum,104.93
Kota Bandung,September-2020,2020,"Makanan, Minuman & Tembakau",105.94
Kota Bandung,September-2020,2020,Pakaian & Alas Kaki,106.93
Kota Bandung,September-2020,2020,"Perumahan, Air, Listrik & Bahan Bakar Rumah Tangga",103.96
Kota Bandung,September-2020,2020,"Perlengkapan, Peralatan & Pemeliharaan Rutin Rumah Tangga",107.91
Kota Bandung,September-2020,2020,Kesehatan,110.5
Kota Bandung,September-2020,2020,Transportasi,100.01
Kota Bandung,September-2020,2020,"Informasi, Komunikasi & Jasa Keuangan",99.58
Kota Bandung,September-2020,2020,"Rekreasi, Olahraga & Budaya",103.75
Kota Bandung,September-2020,2020,Pendidikan,105.25
Kota Bandung,September-2020,2020,Penyediaan Makanan & Minuman - Restoran,104.29
Kota Bandung,September-2020,2020,Perawatan Pribadi & Jasa Lainnya,114.01
Kota Bandung,August-2020,2020,Umum,104.98
Kota Bandung,August-2020,2020,"Makanan, Minuman & Tembakau",106.28
Kota Bandung,August-2020,2020,Pakaian & Alas Kaki,106.93
Kota Bandung,August-2020,2020,"Perumahan, Air, Listrik & Bahan Bakar Rumah Tangga",103.96
Kota Bandung,August-2020,2020,"Perlengkapan, Peralatan & Pemeliharaan Rutin Rumah Tangga",108.04
Kota Bandung,August-2020,2020,Kesehatan,109.27
Kota Bandung,August-2020,2020,Transportasi,100.02
Kota Bandung,August-2020,2020,"Informasi, Komunikasi & Jasa Keuangan",99.58
Kota Bandung,August-2020,2020,"Rekreasi, Olahraga & Budaya",103.75
Kota Bandung,August-2020,2020,Pendidikan,105.25
Kota Bandung,August-2020,2020,Penyediaan Makanan & Minuman - Restoran,103.84
Kota Bandung,August-2020,2020,Perawatan Pribadi & Jasa Lainnya,114.55
Kota Bandung,July-2020,2020,Umum,105.08
Kota Bandung,July-2020,2020,"Makanan, Minuman & Tembakau",107.64
Kota Bandung,July-2020,2020,Pakaian & Alas Kaki,106.48
Kota Bandung,July-2020,2020,"Perumahan, Air, Listrik & Bahan Bakar Rumah Tangga",103.98
Kota Bandung,July-2020,2020,"Perlengkapan, Peralatan & Pemeliharaan Rutin Rumah Tangga",107.56
Kota Bandung,July-2020,2020,Kesehatan,109.18
Kota Bandung,July-2020,2020,Transportasi,99.99
Kota Bandung,July-2020,2020,"Informasi, Komunikasi & Jasa Keuangan",99.55
Kota Bandung,July-2020,2020,"Rekreasi, Olahraga & Budaya",103.63
Kota Bandung,July-2020,2020,Pendidikan,103.61
