Wilayah Jawa Barat,Bulan_Tahun,Tahun,Kelompok Pengeluaran IHK,IHK Value
Kota Bandung,November-2017,2017,"Makanan Jadi, Minuman, Rokok dan Tembakau",136.94
Kota Bandung,November-2017,2017,"Perumahan, Air, Listrik, Gas dan Bahan Bakar",120.61
Kota Bandung,November-2017,2017,Sandang,107.47
Kota Bandung,November-2017,2017,Kesehatan,124.75
Kota Bandung,November-2017,2017,"Pendidikan, Rekreasi dan Olah Raga",123.25
Kota Bandung,November-2017,2017,"Transpor, Komunikasi dan Jasa Keuangan",134.68
Kota Bandung,October-2017,2017,Umum,128.17
Kota Bandung,October-2017,2017,Bahan Makanan,139.17
Kota Bandung,October-2017,2017,"Makanan Jadi, Minuman, Rokok dan Tembakau",135.83
Kota Bandung,October-2017,2017,"Perumahan, Air, Listrik, Gas dan Bahan Bakar",120.36
Kota Bandung,October-2017,2017,Sandang,107.49
Kota Bandung,October-2017,2017,Kesehatan,124.41
Kota Bandung,October-2017,2017,"Pendidikan, Rekreasi dan Olah Raga",122.54
Kota Bandung,October-2017,2017,"Transpor, Komunikasi dan Jasa Keuangan",134.6
Kota Bandung,September-2017,2017,Umum,128.21
Kota Bandung,September-2017,2017,Bahan Makanan,139.61
Kota Bandung,September-2017,2017,"Makanan Jadi, Minuman, Rokok dan Tembakau",135.87
Kota Bandung,September-2017,2017,"Perumahan, Air, Listrik, Gas dan Bahan Bakar",120.32
Kota Bandung,September-2017,2017,Sandang,107.37
Kota Bandung,September-2017,2017,Kesehatan,123.63
Kota Bandung,September-2017,2017,"Pendidikan, Rekreasi dan Olah Raga",122.22
Kota Bandung,September-2017,2017,"Transpor, Komunikasi dan Jasa Keuangan",134.8
Kota Bandung,August-2017,2017,Umum,128.07
Kota Bandung,August-2017,2017,Bahan Makanan,140.13
Kota Bandung,August-2017,2017,"Makanan Jadi, Minuman, Rokok dan Tembakau",135.39
Kota Bandung,August-2017,2017,"Perumahan, Air, Listrik, Gas dan Bahan Bakar",120.34
Kota Bandung,August-2017,2017,Sandang,106.99
Kota Bandung,August-2017,2017,Kesehatan,123.29
Kota Bandung,August-2017,2017,"Pendidikan, Rekreasi dan Olah Raga",120.71
Kota Bandung,August-2017,2017,"Transpor, Komunikasi dan Jasa Keuangan",134.8
Kota Bandung,July-2017,2017,Umum,127.99
Kota Bandung,July-2017,2017,Bahan Makanan,141.92
Kota Bandung,July-2017,2017,"Makanan Jadi, Minuman, Rokok dan Tembakau",134.43
Kota Bandung,July-2017,2017,"Perumahan, Air, Listrik, Gas dan Bahan Bakar",120.32
Kota Bandung,July-2017,2017,Sandang,106.91
Kota Bandung,July-2017,2017,Kesehatan,123.16
Kota Bandung,July-2017,2017,"Pendidikan, Rekreasi dan Olah Raga",117.47
Kota Bandung,July-2017,2017,"Transpor, Komunikasi dan Jasa Keuangan",135.06
Kota Bandung,June-2017,2017,Umum,128.34
Kota Bandung,June-2017,2017,Bahan Makanan,143.61
Kota Bandung,June-2017,2017,"Makanan Jadi, Minuman, Rokok dan Tembakau",132.25
Kota Bandung,June-2017,2017,"Perumahan, Air, Listrik, Gas dan Bahan Bakar",120.37
Kota Bandung,June-2017,2017,Sandang,106.84
Kota Bandung,June-2017,2017,Kesehatan,123.19
Kota Bandung,June-2017,2017,"Pendidikan, Rekreasi dan Olah Raga",117.47
Kota Bandung,June-2017,2017,"Transpor, Komunikasi dan Jasa Keuangan",137.31
Kota Bandung,May-2017,2017,Umum,127.08
Kota Bandung,May-2017,2017,Bahan Makanan,142.81
Kota Bandung,May-2017,2017,"Makanan Jadi, Minuman, Rokok dan Tembakau",131.13
Kota Bandung,May-2017,2017,"Perumahan, Air, Listrik, Gas dan Bahan Bakar",120.29
Kota Bandung,May-2017,2017,Sandang,105.85
Kota Bandung,May-2017,2017,Kesehatan,123.01
Kota Bandung,May-2017,2017,"Pendidikan, Rekreasi dan Olah Raga",117.47
Kota Bandung,May-2017,2017,"Transpor, Komunikasi dan Jasa Keuangan",132.32
Kota Bandung,April-2017,2017,Umum,126.48
Kota Bandung,April-2017,2017,Bahan Makanan,140.83
Kota Bandung,April-2017,2017,"Makanan Jadi, Minuman, Rokok dan Tembakau",130.93
Kota Bandung,April-2017,2017,"Perumahan, Air, Listrik, Gas dan Bahan Bakar",119.75
Kota Bandung,April-2017,2017,Sandang,105.68
Kota Bandung,April-2017,2017,Kesehatan,123.01
Kota Bandung,April-2017,2017,"Pendidikan, Rekreasi dan Olah Raga",117.48
Kota Bandung,April-2017,2017,"Transpor, Komunikasi dan Jasa Keuangan",132.1
